stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,Morodok Techo National Stadium,"[11.6829771, 104.8763078]",11.6829771,104.8763078
Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,Shenyang,Shenyang Olympic Sports Centre Stadium,"[41.7391127, 123.457442]",41.7391127,123.457442
Optus Stadium,60000,Oceania,Australia,Perth - Western Australia,Optus Stadium,"[-31.9510448, 115.8890756]",-31.9510448,115.8890756
National Sports Stadium,60000,Africa,Zimbabwe,Harare,National Sports Stadium,"[-17.8214149, 30.9950735]",-17.8214149,30.9950735
Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,Estadio Monumental Isidro Romero Carbo,"[-2.1858223, -79.92497]",-2.1858223,-79.92497
Groupama Stadium,59186,Europe,France,Décines-Charpieu,Groupama Stadium,"[45.7653624, 4.9820543]",45.7653624,4.9820543
Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,Chongqing Olympic Sports Centre Stadium,"[29.5286397, 106.5021603]",29.5286397,106.5021603
Kazimierz Górski National Stadium,58580,Europe,Poland,Warsaw,Kazimierz Górski National Stadium,"[52.2337172, 21.0714322]",52.2337172,21.0714322
Stadio San Nicola,58270,Europe,Italy,Bari - Apulia,Stadio San Nicola,"[41.0847276, 16.8400849]",41.0847276,16.8400849
Commanders Field,58000,North America,United States,Landover - Maryland,Commanders Field,"[38.9253129, -76.8815433]",38.9253129,-76.8815433
Deutsche Bank Park,58000,Europe,Germany,Frankfurt,Deutsche Bank Park,"[50.0686103, 8.6454154]",50.0686103,8.6454154
Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,Estadio La Cartuja de Sevilla,"[37.4172352, -6.0046134]",37.4172352,-6.0046134
Carter–Finley Stadium,57583,North America,United States,Raleigh - North Carolina,Carter–Finley Stadium,"[35.8008464, -78.7196045]",35.8008464,-78.7196045
La Bombonera,57200,South America,Argentina,Buenos Aires,La Bombonera,"[-34.6355171, -58.3649163]",-34.6355171,-58.3649163
Volksparkstadion,57030,Europe,Germany,Hamburg,Volksparkstadion,"[53.5871535, 9.8987056]",53.5871535,9.8987056
Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,Estadio Mario Alberto Kempes,"[-31.3688468, -64.2461451]",-31.3688468,-64.2461451
Jinan Olympic Sports Centre Stadium,56808,East Asia,China,Jinan,Jinan Olympic Sports Centre Stadium,"[36.6563763, 117.1102322]",36.6563763,117.1102322
Estadio Jalisco,56713,North America,Mexico,Guadalajara - Jalisco,Estadio Jalisco,"[20.7047701, -103.3276846]",20.7047701,-103.3276846
Commonwealth Stadium,56302,North America,Canada,Edmonton - Alberta,Commonwealth Stadium,"[53.5596586, -113.4764233]",53.5596586,-113.4764233
Dodger Stadium,56000,North America,United States,Los Angeles,Dodger Stadium,"[34.0736255, -118.2398452]",34.0736255,-118.2398452
19 May 1956 Stadium,56000,Africa,Algeria,Annaba,19 May 1956 Stadium,"[36.8858551, 7.7339276]",36.8858551,7.7339276
Estadi Olímpic Lluís Companys,55926,Europe,Spain,Barcelona - Catalonia,Estadi Olímpic Lluís Companys,"[41.36472, 2.1556451]",41.36472,2.1556451
El Cilindro,55880,South America,Argentina,Avellaneda,El Cilindro,"[-34.6675758, -58.3685308]",-34.6675758,-58.3685308
Arena do Grêmio,55662,South America,Brazil,Porto Alegre - Rio Grande do Sul,Arena do Grêmio,"[-29.9740429, -51.1951073]",-29.9740429,-51.1951073
Arena Națională,55634,Europe,Romania,Bucharest,Arena Națională,"[44.4372494, 26.1524758]",44.4372494,26.1524758
Stadion Rajko Mitić,55538,Europe,Serbia,Belgrade,Stadion Rajko Mitić,"[44.7832202, 20.4646751]",44.7832202,20.4646751
Stadion Śląski,55211,Europe,Poland,Chorzów,Stadion Śląski,"[50.2882457, 18.9734993]",50.2882457,18.9734993
Etihad Stadium,55097,Europe,England,Manchester - North West England,Etihad Stadium,"[53.483091, -2.200252]",53.483091,-2.200252
Moi International Sports Centre,55000,Africa,Kenya,Nairobi,Moi International Sports Centre,"[-1.2275475, 36.890182]",-1.2275475,36.890182
Mestalla,55000,Europe,Spain,Valencia,Mestalla,"[39.4745279, -0.3581566]",39.4745279,-0.3581566
National Stadium,55000,Southeast Asia,Singapore,Singapore,National Stadium,"[1.3044909, 103.8743437]",1.3044909,103.8743437
National Stadium,55000,East Asia,Taiwan,Kaohsiung,National Stadium,"[22.7028534, 120.2936331]",22.7028534,120.2936331
He Long Stadium,55000,East Asia,China,Changsha,He Long Stadium,"[28.181759, 112.9773897]",28.181759,112.9773897
Cape Town Stadium,55000,Africa,South Africa,Cape Town - Western Cape,Cape Town Stadium,"[-33.9034601, 18.4111458]",-33.9034601,18.4111458
Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,Plovdiv Stadium,"[42.1497674, 24.7199114]",42.1497674,24.7199114
Bobby Dodd Stadium,55000,North America,United States,Atlanta,Bobby Dodd Stadium,"[33.772476, -84.3929589]",33.772476,-84.3929589
Johan Cruijff Arena,54990,Europe,Netherlands,Amsterdam,Johan Cruijff Arena,"[52.314353, 4.9428431]",52.314353,4.9428431
Tianhe Stadium,54856,East Asia,China,Guangzhou,Tianhe Stadium,"[23.1405033, 113.3193597]",23.1405033,113.3193597
Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,Stadio Diego Armando Maradona,"[40.8279773, 14.192889]",40.8279773,14.192889
Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,Tianjin Olympic Sports Centre Stadium,"[39.3032619, 117.4163641]",39.3032619,117.4163641
MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,MERKUR SPIEL-ARENA,"[51.261629, 6.7331516]",51.261629,6.7331516
Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,Boris Paitchadze Dinamo Arena,"[41.7230285, 44.7897943]",41.7230285,44.7897943
Wuhan Sports Centre Stadium,54357,East Asia,China,Wuhan,Wuhan Sports Centre Stadium,"[30.5024679, 114.1661281]",30.5024679,114.1661281
BC Place Stadium,54320,North America,Canada,Vancouver - British Columbia,BC Place Stadium,"[49.2766905, -123.1120062]",49.2766905,-123.1120062
Yankee Stadium,54251,North America,United States,New York City,Yankee Stadium,"[40.8295828, -73.9265212]",40.8295828,-73.9265212
Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,Hrazdan Stadium,"[40.1803671, 44.4946703]",40.1803671,44.4946703
BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,BORUSSIA-PARK,"[51.1746249, 6.3854094]",51.1746249,6.3854094
Moses Mabhida Stadium,54000,Africa,South Africa,Durban - KwaZulu-Natal,Moses Mabhida Stadium,"[-29.8290201, 31.0313741]",-29.8290201,31.0313741
RAMS Park,53978,Europe,Turkey,Istanbul,RAMS Park,"[41.103369, 28.9909522]",41.103369,28.9909522
Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,Busan Asiad Main Stadium,"[35.1900767, 129.0595481]",35.1900767,129.0595481
Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,Belém,Estádio Estadual Jornalista Edgar Augusto Proença,"[-1.3811727, -48.4439318]",-1.3811727,-48.4439318
Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,Estadio Único Diego Armando Maradona,"[-34.9138408, -57.9890476]",-34.9138408,-57.9890476
Adelaide Oval,53500,Oceania,Australia,Adelaide - South Australia,Adelaide Oval,"[-34.9155596, 138.5962772]",-34.9155596,138.5962772
Docklands Stadium,53359,Oceania,Australia,Melbourne - Victoria,Docklands Stadium,"[-37.816529, 144.947517]",-37.816529,144.947517
Estádio Municipal João Havelange,53350,South America,Brazil,Uberlândia - Minas Gerais,Estádio Municipal João Havelange,"[-18.9188041, -48.2767837]",-18.9188041,-48.2767837
San Mamés,53332,Europe,Spain,Bilbao,San Mamés,"[43.264204, -2.9493915]",43.264204,-2.9493915
Aleppo International Stadium,53200,West Asia,Syria,Aleppo,Aleppo International Stadium,"[36.1849318, 37.1176418]",36.1849318,37.1176418
Estadio Nacional,53086,South America,Peru,Lima,Estadio Nacional,"[-12.0673803, -77.033783]",-12.0673803,-77.033783
Huanglong Stadium,52672,East Asia,China,Hangzhou,Huanglong Stadium,"[30.2489634, 120.2052342]",30.2489634,120.2052342
Suncorp Stadium,52500,Oceania,Australia,Brisbane - Queensland,Suncorp Stadium,"[-27.4648603, 153.0096055]",-27.4648603,153.0096055
St. James' Park,52405,Europe,England,Newcastle upon Tyne - North East,St. James' Park,"[54.9754693, -1.6218737]",54.9754693,-1.6218737
Kings Park Stadium,52000,Africa,South Africa,Durban - KwaZulu-Natal,Kings Park Stadium,"[-29.8248051, 31.0289735]",-29.8248051,31.0289735
Newlands Stadium,51900,Africa,South Africa,Cape Town - Western Cape,Newlands Stadium,"[-33.9705226, 18.4685626]",-33.9705226,18.4685626
Hampden Park,51866,Europe,Scotland,Glasgow,Hampden Park,"[55.826014, -4.2519271]",55.826014,-4.2519271
Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,Estadio Monumental de Maturín,"[9.7422774, -63.1888854]",9.7422774,-63.1888854
Loftus Versfeld Stadium,51762,Africa,South Africa,Pretoria - Gauteng,Loftus Versfeld Stadium,"[-25.7532347, 28.2229327]",-25.7532347,28.2229327
Aviva Stadium,51700,Europe,Ireland,Dublin,Aviva Stadium,"[53.3352254, -6.2281851]",53.3352254,-6.2281851
Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,Guiyang,Guiyang Olympic Sports Centre Stadium,"[26.6206664, 106.6058467]",26.6206664,106.6058467
Hohhot City Stadium,51632,East Asia,China,Hohhot,Hohhot City Stadium,"[40.8511397, 111.6504625]",40.8511397,111.6504625
Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,Rajamangala National Stadium,"[13.7554291, 100.6221559]",13.7554291,100.6221559
Donbas Arena,51504,Europe,Ukraine,Donetsk,Donbas Arena,"[48.0211038, 37.8090531]",48.0211038,37.8090531
İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,İzmir Atatürk Stadyumu,"[38.4349835, 27.1780113]",38.4349835,27.1780113
Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,Stadion Feijenoord,"[51.8938646, 4.5232281]",51.8938646,4.5232281
Estadio BBVA,51000,North America,Mexico,Monterrey,Estadio BBVA,"[25.6691103, -100.2443559]",25.6691103,-100.2443559
Ghadir Stadium,51000,West Asia,Iran,Ahvaz,Ghadir Stadium,"[31.3230637, 48.67932]",31.3230637,48.67932
Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre,Estádio José Pinheiro Borda,"[-30.0654898, -51.2349178]",-30.0654898,-51.2349178
Ibrox Stadium,50817,Europe,Scotland,Glasgow,Ibrox Stadium,"[55.8532206, -4.3093239]",55.8532206,-4.3093239
Shizuoka Stadium,50889,East Asia,Japan,Fukuroi - Shizuoka,Shizuoka Stadium,"[34.7434304, 137.9707289]",34.7434304,137.9707289
Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,Ernst-Happel-Stadion,"[48.2071894, 16.4209171]",48.2071894,16.4209171
Huntington Bank Stadium,50805,North America,United States,Minneapolis,Huntington Bank Stadium,"[44.9765396, -93.2240767]",44.9765396,-93.2240767
Hocine Ait Ahmed Stadium,50766,Africa,Algeria,Tizi Ouzou,Hocine Ait Ahmed Stadium,"[36.7286051, 4.0131105]",36.7286051,4.0131105
Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,Estadio Cuauhtémoc,"[19.0780538, -98.1643653]",19.0780538,-98.1643653
Strawberry Arena,50653,Europe,Sweden,Solna,Strawberry Arena,"[59.3725039, 18.0016672]",59.3725039,18.0016672
Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,Ülker Stadyumu,"[40.9875806, 29.0369773]",40.9875806,29.0369773
Stanford Stadium,50424,North America,United States,Palo Alto - California,Stanford Stadium,"[37.4345264, -122.1619867]",37.4345264,-122.1619867
Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,Stade Pierre-Mauroy,"[50.6119044, 3.130508]",50.6119044,3.130508
Stade Roi Baudouin,50122,Europe,Belgium,Brussels,Stade Roi Baudouin,"[50.8957221, 4.3341279]",50.8957221,4.3341279
Shaanxi Province Stadium,50100,East Asia,China,Xi'an,Shaanxi Province Stadium,"[34.2340542, 108.9365826]",34.2340542,108.9365826
Ajinomoto Stadium,50100,East Asia,Japan,Chofu - Tokyo,Ajinomoto Stadium,"[35.6641865, 139.5270752]",35.6641865,139.5270752
Estádio José Alvalade,50095,Europe,Portugal,Lisbon,Estádio José Alvalade,"[38.7612164, -9.1607831]",38.7612164,-9.1607831
Estádio do Dragão,50033,Europe,Portugal,Porto,Estádio do Dragão,"[41.1618235, -8.5837492]",41.1618235,-8.5837492
Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,Salvador - Bahia,Casa de Apostas Arena Fonte Nova,"[-12.9787926, -38.5035601]",-12.9787926,-38.5035601
Stade Tata Raphaël,50000,Africa,DR Congo,Kinshasa,Stade Tata Raphaël,"[-4.3379266, 15.3226297]",-4.3379266,15.3226297
Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,Stade Olympique de Sousse,"[35.8234702, 10.6135481]",35.8234702,10.6135481
RheinEnergieSTADION,50000,Europe,Germany,Cologne,RheinEnergieSTADION,"[50.9335055, 6.8751167]",50.9335055,6.8751167
Harbin Sports City Centre Stadium,50000,East Asia,China,Harbin,Harbin Sports City Centre Stadium,"[45.7593633, 126.6276177]",45.7593633,126.6276177
Greenfield International Stadium,50000,South Asia,India,Trivandrum,Greenfield International Stadium,"[8.5714907, 76.8843638]",8.5714907,76.8843638
EMS Stadium,50000,South Asia,India,Kozhikode,EMS Stadium,"[11.2563999, 75.7856251]",11.2563999,75.7856251
KD Singh Babu Stadium,50000,South Asia,India,Lucknow,KD Singh Babu Stadium,"[26.8553535, 80.9376841]",26.8553535,80.9376841
Eden Park,50000,Oceania,New Zealand,Auckland,Eden Park,"[-36.8750352, 174.7440567]",-36.8750352,174.7440567
Estádio 11 de Novembro,50000,Africa,Angola,Luanda,Estádio 11 de Novembro,"[-8.969921, 13.2835311]",-8.969921,13.2835311
Henan Provincial Stadium,50000,East Asia,China,Zhengzhou,Henan Provincial Stadium,"[34.8374127, 113.6228562]",34.8374127,113.6228562
Jiangxi Olympic Sports Center,50000,East Asia,China,Nanchang,Jiangxi Olympic Sports Center,"[28.6472124, 116.0348483]",28.6472124,116.0348483
Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,Max-Morlock-Stadion,"[49.4262569, 11.1256706]",49.4262569,11.1256706
June 11 Stadium,50000,Africa,Libya,Tripoli,June 11 Stadium,"[32.8598956, 13.135806]",32.8598956,13.135806
Xinjiang Sports Centre Stadium,50000,East Asia,China,Urumqi,Xinjiang Sports Centre Stadium,"[43.8244074, 87.6139038]",43.8244074,87.6139038
Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,Kim Il-sung Stadium,"[39.0438585, 125.7577377]",39.0438585,125.7577377
EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,EDION Stadium Hiroshima,"[34.4407675, 132.3932183]",34.4407675,132.3932183
Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,Pars Shiraz Stadium,"[29.6060218, 52.5378041]",29.6060218,52.5378041
Stade du 26 mars,50000,Africa,Mali,Bamako,Stade du 26 mars,"[12.6043766, -7.9217374]",12.6043766,-7.9217374
Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,Stade Abdoulaye Wade,"[14.7327571, -17.2014923]",14.7327571,-17.2014923
Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,Sultan Mizan Zainal Abidin Stadium,"[5.3697135, 103.1056812]",5.3697135,103.1056812
Estadio Akron,49850,North America,Mexico,Guadalajara,Estadio Akron,"[20.6818469, -103.4626718]",20.6818469,-103.4626718
Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,Levy Mwanawasa Stadium,"[-12.9755312, 28.6112268]",-12.9755312,28.6112268
Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,Fritz-Walter-Stadion,"[49.4345765, 7.7766303]",49.4345765,7.7766303
Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,Estadio José Amalfitani,"[-34.6353382, -58.5206788]",-34.6353382,-58.5206788
Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,Camille Chamoun Sports City Stadium,"[33.8670781, 35.4951176]",33.8670781,35.4951176
Miyagi Stadium,49133,East Asia,Japan,Rifu - Miyagi,Miyagi Stadium,"[38.3353606, 140.9504567]",38.3353606,140.9504567
Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,Incheon Munhak Stadium,"[37.4350773, 126.6907516]",37.4350773,126.6907516
Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,Heinz-von-Heiden-Arena,"[52.360026, 9.7310161]",52.360026,9.7310161
Parc des Princes,48712,Europe,France,Paris,Parc des Princes,"[48.8413634, 2.2530693]",48.8413634,2.2530693
Stadium of Light,48707,Europe,England,Sunderland - Tyne and Wear,Stadium of Light,"[54.9143953, -1.3882579]",54.9143953,-1.3882579
Estadio Nacional,48665,South America,Chile,Santiago,Estadio Nacional,"[-33.4623809, -70.6062176]",-33.4623809,-70.6062176
Nelson Mandela Bay Stadium,48459,Africa,South Africa,Port Elizabeth - Eastern Cape,Nelson Mandela Bay Stadium,"[-33.937792, 25.5994087]",-33.937792,25.5994087
Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,Estadio Tomás Adolfo Ducó,"[-34.6434539, -58.3965026]",-34.6434539,-58.3965026
Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,Jinnah Sports Stadium,"[33.7004059, 73.0928604]",33.7004059,73.0928604
Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,Estadio Libertadores de América,"[-34.6702227, -58.3710378]",-34.6702227,-58.3710378
Free State Stadium,48000,Africa,South Africa,Bloemfontein - Free State,Free State Stadium,"[-29.1172351, 26.2087696]",-29.1172351,26.2087696
Nagai Stadium,47816,East Asia,Japan,Osaka,Nagai Stadium,"[34.6153577, 135.5165441]",34.6153577,135.5165441
